id,name,description,price
135,Sari indien,NULL,26000
136,Sari indien,NULL,26000
137,Fancylove haute qualité,Boucle d'oreilles,1700
138,Boucle d'oreilles,Collection Dior,1700
139,Cerceau boucles d'oreilles,Mode Dubaî Grand,2500
140,Bracelet Turquoise,Collection Nira,2500
141,Costume 3 pièces,NULL,45000
142,Costume 3 pièces,NULL,45000
143,Costume 3 pièces,NULL,45000
144,Costume 3 pièces,NULL,45000
145,Costume 3 pièces,NULL,45000
146,Costume 3 pièces,NULL,45000
147,Costume 2 pièces,NULL,40000
148,Costume 2 pièces,NULL,40000
149,Parfum,"MARQUE
Collection",4000
150,Parfum,"MARQUE 
Collection",4000
151,Parfum,"MARQUE
Colllection",4000
152,Parfum,"MARQUE
Collection",4000
153,Parfum,"MARQUE
Collection",4000
154,Chaussure,Haut talon,25000
155,Sac de voyage,Uniquement sur commande,26000
156,Sac de voyage,Disponible seulement sur commande,26000
157,Sac de voyage,Disponible sur commande,26000
158,Sac à main,Disponible sur commande (5Jours),12000
159,Sac à main,Disponible sur commande (5Jours),12000
160,Chaussure,Louis Vuitton,20000
161,Chaussure,Clark,20000
162,Chaussure,NULL,17000
163,Chaussure,Timberland,20000
164,Chaussure,CHANEL,22000
165,Sac à main,NULL,3500
166,Sac à main,NULL,3500
167,Sac à main,NULL,3500
168,Sac à main,NULL,3500
169,Sac à main,Sortie,3500
170,Sac à main,Sortie,3500
171,Sac à main,NULL,3500
172,Sac à main,Confectionné en pagne,12500
173,Sac à main,NULL,3500
174,Sac à main,Sac de sortie,3500
175,Sac à main,NULL,12500
176,Sac à main,NULL,12500
177,Sac à main,Sac de travail,12500
178,Sac à main,Sac de sortie,12500
179,Sac à main,Sortie,12500
180,Sac à main,Sac de sortie,12500
181,Sac à dos,Tendance,9000
182,Pagne en soie,3m plus 2m foulard,11000
183,Pagne en soie,Pagne (3m) complet avec foulard (2m),11000
184,Pagne en soie,Pagne (3m) complet avec foulard (2m),11000
185,Pagne en soie,Pagne (3m) complet avec foulard (2m),11000
186,Chaussure class,En cuir,20000
187,Tennis,lacoste,20000
188,Chaussure Basket,Air NIKE,17000
189,Chaussure Basket,NIKE,17000
190,Chaussure Tennis,Reebok,20000
191,Basket,NULL,17000
192,Col roulé,Manche longue,8000
193,Costume,2 pièces,40000
194,Cuir,Swagg class,30000
195,Mocassin,Swagg class,30000
196,Mocassin,GUCCI,30000
197,Drap,"3 places + 4 taies
100% coton",17000
198,Drap,"3 places + 4 taies Complet avec rideau
100% coton",30000
199,Drap,"3 places + 4 taies
100% coton",22000
200,Drap,"3 places + 4 taies
100% coton",22000
201,EDA MAGIKI,POUR CHEVEUX NATURELS,3000
202,CHAMPOO,Hair wonder,3500
203,Hair wonder,Natural hairs,3500
204,Gilet Par balle mode,LUXE,12000
205,PULL HOODIE,LUXE,7000
206,Casquette,LUXE,3000
207,T-shirt,LUXE,4000
208,GILET PLASTIQUE,LUXE,10000
209,ONE MILLION,paco rabanne,55000
210,Jean Paul,LE MALE,55000
211,DYLAN BLUE,VERSACE pour hommes,55000
212,Boucle d'oreilles,NULL,1000
213,Boucle d'oreilles,Femmes,750
214,Boucle d'oreilles,Femmes,800
215,Boucle d'oreilles,Femmes tendances,1500
216,Bracelet,Mode femmes,1200
217,Boucle d'oreilles,femmes,1500
218,Boucle d'oreilles,Femmes tendances,800
219,Boucle d'oreilles,tendances Femmes,1500
220,Boucle d'oreilles,Tendances femmes,800
221,kljl,jklj;j,45545
222,jkhkh,khkhkjhkj,545
223,Produit xxxx,Produit xxxx,4520
224,jlkj,kllj,555
